"ConfigRuleName","ConfigRuleIdentity","Description","InputParameters"
"acm-certificate-expiration-check","ACM_CERTIFICATE_EXPIRATION_CHECK","Checks whether ACM Certificates in your account are marked for expiration within the specified number of days. Certificates provided by ACM are automatically renewed. ACM does not automatically renew certificates that you import.","{""daysToExpiration"":""14""}"
"alb-http-to-https-redirection-check","ALB_HTTP_TO_HTTPS_REDIRECTION_CHECK","Checks whether HTTP to HTTPS redirection is configured on all HTTP listeners of Application Load Balancers. The rule is NON_COMPLIANT if one or more HTTP listeners of Application Load Balancer do not have HTTP to HTTPS redirection configured.","{}"
"api-gw-cache-enabled-and-encrypted","API_GW_CACHE_ENABLED_AND_ENCRYPTED","Checks that all methods in Amazon API Gateway stages have cache enabled and cache encrypted. The rule is NON_COMPLIANT if any method in Amazon API Gateway stage is not configured to cache or the cache is not encrypted.","{}"
"api-gw-execution-logging-enabled","API_GW_EXECUTION_LOGGING_ENABLED"," Checks that all methods in Amazon API Gateway stage has logging enabled. The rule is NON_COMPLIANT if logging is not enabled. The rule is NON_COMPLIANT if loggingLevel is neither ERROR nor INFO.","{""loggingLevel"":""ERROR,INFO""}"
"autoscaling-group-elb-healthcheck-required","AUTOSCALING_GROUP_ELB_HEALTHCHECK_REQUIRED","Checks whether your Auto Scaling groups that are associated with a load balancer are using Elastic Load Balancing health checks.","{}"
"cloud-trail-cloud-watch-logs-enabled","CLOUD_TRAIL_CLOUD_WATCH_LOGS_ENABLED","Checks whether AWS CloudTrail trails are configured to send logs to Amazon CloudWatch logs. The trail is non-compliant if the CloudWatchLogsLogGroupArn property of the trail is empty.","{}"
"cloud-trail-encryption-enabled","CLOUD_TRAIL_ENCRYPTION_ENABLED","Checks whether AWS CloudTrail is configured to use the server side encryption (SSE) AWS Key Management Service (AWS KMS) customer master key (CMK) encryption. The rule is compliant if the KmsKeyId is defined.","{}"
"cloud-trail-log-file-validation-enabled","CLOUD_TRAIL_LOG_FILE_VALIDATION_ENABLED","Checks whether AWS CloudTrail creates a signed digest file with logs. AWS recommends that the file validation must be enabled on all trails. The rule is noncompliant if the validation is not enabled.","{}"
"cloudformation-stack-notification-check","CLOUDFORMATION_STACK_NOTIFICATION_CHECK","Checks whether your CloudFormation stacks are sending event notifications to an SNS topic. Optionally checks whether specified SNS topics are used.","{}"
"cloudtrail-enabled","CLOUD_TRAIL_ENABLED","Checks whether AWS CloudTrail is enabled in your AWS account. Optionally, you can specify which S3 bucket, SNS topic, and Amazon CloudWatch Logs ARN to use.","{}"
"cloudtrail-s3-dataevents-enabled","CLOUDTRAIL_S3_DATAEVENTS_ENABLED","Checks whether at least one AWS CloudTrail trail is logging Amazon S3 data events for all S3 buckets. The rule is NON_COMPLIANT if trails log data events for S3 buckets is not configured.","{}"
"cloudwatch-log-group-encrypted","CLOUDWATCH_LOG_GROUP_ENCRYPTED","Checks whether a log group in Amazon CloudWatch Logs is encrypted. The rule is NON_COMPLIANT if CloudWatch Logs has log group without encryption enabled.","{}"
"cmk-backing-key-rotation-enabled","CMK_BACKING_KEY_ROTATION_ENABLED","Checks that key rotation is enabled for each key and matches to the key ID of the customer created customer master key (CMK). The rule is compliant, if the key rotation is enabled for specific key object.","{}"
"codepipeline-deployment-count-check","CODEPIPELINE_DEPLOYMENT_COUNT_CHECK","Checks whether the first deployment stage of the AWS CodePipeline performs more than one deployment. Optionally checks if each of the subsequent remaining stages deploy to more than the specified number of deployments (deploymentLimit).","{}"
"codepipeline-region-fanout-check","CODEPIPELINE_REGION_FANOUT_CHECK","Checks whether each stage in the AWS CodePipeline deploys to more regions than N times the number of regions the pipeline has deployed to in all previous stages, where N is regionFanoutFactor. The first deployment stage can deploy to only one region.","{""regionFanoutFactor"":""3""}"
"db-instance-backup-enabled","DB_INSTANCE_BACKUP_ENABLED","Checks whether RDS DB instances have backups enabled. Optionally, the rule checks the backup retention period and the backup window.","{}"
"dms-replication-not-public","DMS_REPLICATION_NOT_PUBLIC","Checks whether AWS Database Migration Service replication instances are public. The rule is NON_COMPLIANT if PubliclyAccessible field is true.","{}"
"dynamodb-autoscaling-enabled","DYNAMODB_AUTOSCALING_ENABLED","This rule checks whether Auto Scaling is enabled on your DynamoDB tables. Optionally you can set the read and write capacity units for the table.","{}"
"dynamodb-table-encryption-enabled","DYNAMODB_TABLE_ENCRYPTION_ENABLED","Checks whether the Amazon DynamoDB tables are encrypted and checks their status. The rule is compliant if the status is enabled or enabling.","{}"
"dynamodb-throughput-limit-check","DYNAMODB_THROUGHPUT_LIMIT_CHECK","Checks whether provisioned DynamoDB throughput is approaching the maximum limit for your account. By default, the rule checks if provisioned throughput exceeds a threshold of 80% of your account limits.","{""accountWCUThresholdPercentage"":""80"",""accountRCUThresholdPercentage"":""80""}"
"ebs-optimized-instance","EBS_OPTIMIZED_INSTANCE","Checks whether EBS optimization is enabled for your EC2 instances that can be EBS-optimized.","{}"
"ebs-snapshot-public-restorable-check","EBS_SNAPSHOT_PUBLIC_RESTORABLE_CHECK","Checks whether Amazon Elastic Block Store (Amazon EBS) snapshots are not publicly restorable. The rule is NON_COMPLIANT if one or more snapshots with RestorableByUserIds field are set to all, that is, Amazon EBS snapshots are public.","{}"
"ec2-instance-detailed-monitoring-enabled","EC2_INSTANCE_DETAILED_MONITORING_ENABLED","Checks whether detailed monitoring is enabled for EC2 instances.","{}"
"ec2-instance-managed-by-systems-manager","EC2_INSTANCE_MANAGED_BY_SSM","Checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.","{}"
"ec2-instance-no-public-ip","EC2_INSTANCE_NO_PUBLIC_IP","Checks whether Amazon Elastic Compute Cloud (Amazon EC2) instances have a public IP association. The rule is NON_COMPLIANT if the publicIp field is present in the Amazon EC2 instance configuration item. This rule applies only to IPv4.","{}"
"ec2-instances-in-vpc","INSTANCES_IN_VPC","Checks whether your EC2 instances belong to a virtual private cloud (VPC). Optionally, you can specify the VPC ID to associate with your instances.","{}"
"ec2-managedinstance-association-compliance-status-check","EC2_MANAGEDINSTANCE_ASSOCIATION_COMPLIANCE_STATUS_CHECK","Checks whether the compliance status of the AWS Systems Manager association compliance is COMPLIANT or NON_COMPLIANT after the association execution on the instance. The rule is compliant if the field status is COMPLIANT.","{}"
"ec2-managedinstance-patch-compliance-status-check","EC2_MANAGEDINSTANCE_PATCH_COMPLIANCE_STATUS_CHECK","Checks whether the compliance status of the AWS Systems Manager patch compliance is COMPLIANT or NON_COMPLIANT after the patch installation on the instance. The rule is compliant if the field status is COMPLIANT.","{}"
"ec2-security-group-attached-to-eni","EC2_SECURITY_GROUP_ATTACHED_TO_ENI","Checks that security groups are attached to Amazon Elastic Compute Cloud (EC2) instances or an elastic network interfaces (ENIs). The rule returns NON_COMPLIANT if the security group is not associated with an EC2 instance or an ENI.","{}"
"ec2-stopped-instance","EC2_STOPPED_INSTANCE","Checks whether there are instances stopped for more than the allowed number of days.","{""AllowedDays"":""30""}"
"ec2-volume-inuse-check","EC2_VOLUME_INUSE_CHECK","Checks whether EBS volumes are attached to EC2 instances. Optionally checks if EBS volumes are marked for deletion when an instance is terminated.","{}"
