"GroupName","PolicyName"
"Administrators","WSUPolicy_AccountDisableAll_Global"
"Administrators","WSUPolicy_ComputeAdministrator_USWest2_MFAAge"
"Administrators","WSUPolicy_DeveloperAdministrator_USWest2_MFAAge"
"Administrators","WSUPolicy_FinanceAdministrator_USWest2_MFAAge"
"Administrators","WSUPolicy_IdentityAdministrator_Global_MFAAge"
"Administrators","WSUPolicy_SecurityAdministrator_USWest2_MFAAge"
"ComputeAdministrators","WSUPolicy_AccountDisableAll_Global"
"ComputeAdministrators","WSUPolicy_ComputeAdministrator_USWest2_MFAAge"
"DeveloperAdministrators","WSUPolicy_AccountDisableAll_Global"
"DeveloperAdministrators","WSUPolicy_DeveloperAdministrator_USWest2_MFAAge"
"FinanceAdministrators","WSUPolicy_AccountDisableAll_Global"
"FinanceAdministrators","WSUPolicy_FinanceAdministrator_USWest2_MFAAge"
"IdentityAdministrators","WSUPolicy_AccountDisableAll_Global"
"IdentityAdministrators","WSUPolicy_IdentityAdministrator_Global_MFAAge"
"SecurityAdministrators","WSUPolicy_AccountDisableAll_Global"
"SecurityAdministrators","WSUPolicy_SecurityAdministrator_USWest2_MFAAge"
